epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1723.31,1.34391,0.73688,1.6113,0.97817,0.88268,0.95821,0.60641,1.26105,0.62963,1.68569,0.0002972,0.0002972,0.0002972
88,1744.09,1.33043,0.74674,1.63092,0.97409,0.89385,0.9586,0.60531,1.27556,0.63319,1.68798,0.0002774,0.0002774,0.0002774
89,1763.85,1.33027,0.73319,1.61023,0.91482,0.93296,0.95937,0.61139,1.26433,0.61569,1.67782,0.0002576,0.0002576,0.0002576
90,1783.19,1.33595,0.73825,1.60089,0.96241,0.89385,0.95401,0.59316,1.28133,0.62831,1.68082,0.0002378,0.0002378,0.0002378
91,1805.27,1.25869,0.65922,1.6464,0.96987,0.89902,0.96237,0.61931,1.26637,0.60704,1.67493,0.000218,0.000218,0.000218
92,1823.78,1.22643,0.63256,1.63145,0.92765,0.93118,0.9601,0.60697,1.26596,0.59059,1.68112,0.0001982,0.0001982,0.0001982
93,1842.05,1.21143,0.62008,1.60338,0.91434,0.95412,0.96245,0.60343,1.26854,0.60845,1.6688,0.0001784,0.0001784,0.0001784
94,1861.82,1.21501,0.63335,1.60757,0.95058,0.93855,0.96327,0.60629,1.27632,0.59319,1.69173,0.0001586,0.0001586,0.0001586
95,1880.39,1.1961,0.60617,1.61265,0.95374,0.92135,0.96129,0.61399,1.25054,0.58653,1.66165,0.0001388,0.0001388,0.0001388
96,1898.66,1.19219,0.61651,1.58782,0.94791,0.92179,0.9624,0.61697,1.25528,0.58265,1.67585,0.000119,0.000119,0.000119
97,1917.28,1.17165,0.6089,1.58555,0.93824,0.9336,0.96384,0.61868,1.24647,0.57292,1.66279,9.92e-05,9.92e-05,9.92e-05
98,1936.77,1.1895,0.605,1.60138,0.94374,0.93721,0.96378,0.62299,1.24114,0.58123,1.65313,7.94e-05,7.94e-05,7.94e-05
99,1954.97,1.16474,0.58835,1.58301,0.94628,0.93296,0.96415,0.62237,1.22959,0.57721,1.65558,5.96e-05,5.96e-05,5.96e-05
100,1973.2,1.16123,0.58686,1.56609,0.94545,0.93296,0.96425,0.62747,1.22465,0.57473,1.64612,3.98e-05,3.98e-05,3.98e-05
